family,cluster,load,policy,n,mean_delta,ci95_low,ci95_high,wins,losses
pred_error,hetero,high,hybrid,10,0.00636,-0.00134,0.01407,6,1
pred_error,hetero,high,spread,10,0.00403,-0.00281,0.01087,7,2
pred_error,hetero,high,tetris,10,0.00583,-0.00493,0.01658,6,2
pred_error,hetero,high,wmatch,10,-0.00107,-0.00269,0.00055,0,2
pred_error,hetero,low,balance,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,low,hybrid,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,low,spread,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,low,tetris,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,low,wmatch,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,balance,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,hybrid,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,spread,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,tetris,10,0.00000,0.00000,0.00000,0,0
pred_error,hetero,med,wmatch,10,0.00000,0.00000,0.00000,0,0
pred_error,homog,high,balance,10,0.00618,-0.00127,0.01363,6,2
